ax-0,ay-0,omega-0,ax-1,ay-1,omega-1
-0.002915374,0.010855207,-0.008717594,-0.006976311,0.010020416,-0.003751685
-0.004786354,0.011498806,-0.007984928,-0.009736644,0.012197282,-0.001498564
-0.010191987,0.012687646,-0.005965448,-0.015366007,0.016524225,0.002328029
-0.002998777,0.007780728,-0.008098152,-0.003985239,0.007948979,-0.004207575
-0.001493706,0.008613058,-0.007115278,-0.00529058,0.008927314,-0.003847666
-0.003211614,0.010142874,-0.007218302,-0.007363777,0.011064771,-0.002371964
-0.007782418,0.011774052,-0.006366987,-0.011778872,0.014444909,0.000716443
-0.000577819,0.005680257,-0.00769609,-0.002100339,0.005701049,-0.001882481
0.000262122,0.006883938,-0.006175652,-0.004484938,0.006231654,-0.003218249
-0.001322159,0.008561435,-0.007056541,-0.00594999,0.008041913,-0.002718015
-0.004396988,0.010217552,-0.006693513,-0.009364766,0.011125258,-0.000645759
-0.003673751,0.010208976,-0.009642207,-0.003626424,0.009374837,-0.005067442
-0.002596742,0.010815182,-0.008736723,-0.006631845,0.010166336,-0.003708257
-0.004916502,0.01151312,-0.008552815,-0.009254403,0.012124632,-0.002834347
-0.010344731,0.013131304,-0.006081473,-0.0150159,0.016043606,0.002261248
-0.001138914,0.007917723,-0.008671978,-0.003638143,0.00773795,-0.003454037
-0.001497548,0.008514864,-0.007017063,-0.00601328,0.008581917,-0.00351583
-0.00255267,0.010306689,-0.007369233,-0.007855379,0.010569477,-0.002544719
-0.007310441,0.011778455,-0.00690749,-0.012168979,0.013919789,0.00042323
-0.002858369,0.006616029,-0.004397555,-0.005079085,0.005823837,-0.004331225
-0.000849197,0.007435702,-0.005020107,-0.005415853,0.006847883,-0.003239589
-0.002624678,0.008524134,-0.005923896,-0.006617957,0.00859127,-0.002378031
-0.005030009,0.01055866,-0.005921328,-0.00963397,0.011559745,-0.000542019
-0.001825297,0.010363982,-0.007494602,-0.007092189,0.008800957,-0.005859903
-0.00171111,0.010321729,-0.008643559,-0.006878759,0.010229454,-0.004287016
-0.004157558,0.011110004,-0.008007504,-0.009528103,0.012418565,-0.002070384
-0.009852361,0.012633721,-0.006326226,-0.015080333,0.016421753,0.002306195
-0.002162623,0.008640327,-0.006951208,-0.004256174,0.007128069,-0.005221001
-0.00149715,0.009111142,-0.007115964,-0.005634706,0.008679937,-0.002804439
-0.003821124,0.009982069,-0.007168017,-0.008250377,0.010747784,-0.002030215
-0.007789871,0.011494625,-0.00664088,-0.012556103,0.014449877,0.000443205
0.000222436,0.007064475,-0.004883137,-0.00505512,0.006820546,-0.001022588
-0.000260162,0.00725622,-0.006189111,-0.00505364,0.0068228,-0.002966477
-0.002132354,0.008579928,-0.006433585,-0.006513879,0.008367172,-0.00178947
-0.004745877,0.01053008,-0.006162065,-0.009690926,0.011560422,-0.000793957
-0.000839045,0.010180974,-0.008209958,-0.006051377,0.010389411,-0.003793851
-0.001955653,0.010211738,-0.00846005,-0.006833576,0.01041758,-0.004203559
-0.003497606,0.011029367,-0.007528084,-0.009651573,0.012306719,-0.0017971
-0.009289624,0.012733862,-0.006345651,-0.015134589,0.016748395,0.002536332
0.000361896,0.008505214,-0.007919892,-0.004641505,0.008151747,-0.002931829
-0.000904934,0.008956692,-0.007607036,-0.005433181,0.008562138,-0.00333194
-0.002950434,0.009966019,-0.007772313,-0.007489064,0.010198731,-0.002226581
-0.007121039,0.011798822,-0.006488945,-0.011959034,0.014003252,0.000144553
0.000601173,0.006523677,-0.004517568,-0.005945547,0.005469186,-0.003153056
-0.001367105,0.006597404,-0.005874722,-0.005311356,0.00699869,-0.003145428
-0.002116983,0.008242822,-0.006289166,-0.006929827,0.008565595,-0.002399736
-0.004798137,0.010330758,-0.00604405,-0.009910486,0.011599248,-0.001078743
-0.002532228,0.008971582,-0.009735473,-0.004902412,0.008684501,-0.006145302
-0.002556849,0.009948051,-0.00833849,-0.00743435,0.009532536,-0.004463106
-0.00427445,0.011271194,-0.007795939,-0.009876927,0.011836413,-0.002886029
-0.010036367,0.012392208,-0.005796641,-0.015120793,0.016057901,0.001799015
-0.000100755,0.009425066,-0.006501798,-0.005089393,0.00806235,-0.001219804
-0.000705392,0.009140267,-0.006269274,-0.006553457,0.009143718,-0.00220938
-0.002545431,0.010213244,-0.00683739,-0.008347403,0.010713903,-0.001904561
-0.007118775,0.011634826,-0.006226108,-0.01240957,0.014244215,0.001124683
0.001209492,0.006666533,-0.005619995,-0.004436356,0.005563331,-0.002503042
-0.000668275,0.007169428,-0.005698856,-0.00495258,0.006374573,-0.002816328
-0.001612472,0.008559032,-0.006537605,-0.006186572,0.008360666,-0.00226185
-0.004509355,0.010341216,-0.006319383,-0.009573541,0.011356489,-0.000925984
-0.000608504,0.010608973,-0.008753929,-0.006100531,0.010182015,-0.003395823
-0.000990452,0.010708501,-0.008194433,-0.006961167,0.01048865,-0.003534611
-0.004100395,0.011803734,-0.007973204,-0.008865305,0.012197076,-0.001589407
-0.009989102,0.012765598,-0.006061891,-0.014988526,0.016337653,0.002321507
-0.001793438,0.008182609,-0.007619135,-0.003596865,0.007761,-0.003788368
-0.001517331,0.008663887,-0.00748511,-0.005246168,0.008299269,-0.003854404
-0.003560165,0.00999207,-0.007695944,-0.007806658,0.010505863,-0.001947587
-0.007216013,0.011894374,-0.006799986,-0.012457515,0.013869171,0.000724605
0.000871562,0.006901784,-0.005031057,-0.004773694,0.005608589,-0.005257266
4.47E-05,0.007207947,-0.006002281,-0.004851078,0.006861161,-0.002950924
-0.002177882,0.008122722,-0.006289541,-0.006598283,0.008359496,-0.002808557
-0.004669337,0.010163223,-0.006517792,-0.009676555,0.011136564,-0.001248332
-0.00030652,0.010858229,-0.009912355,-0.005453312,0.00841881,-0.005039342
-0.002771672,0.010457325,-0.008473946,-0.007834591,0.009788124,-0.003367111
-0.004163216,0.011525658,-0.008011581,-0.009606471,0.011729709,-0.00243045
-0.010248324,0.012733995,-0.006242832,-0.015186147,0.015698282,0.002256224
-0.001293369,0.009046889,-0.007090413,-0.005156618,0.007242289,-0.003575683
-0.00177659,0.00893151,-0.007220692,-0.006190394,0.008267364,-0.003281282
-0.003260222,0.010257937,-0.006789656,-0.008321751,0.010200258,-0.002242081
-0.007549656,0.011569924,-0.006351616,-0.012392039,0.014162292,0.000287415
0.001169115,0.007053789,-0.004675569,-0.003751092,0.004953294,-0.003597348
-0.000547142,0.007272119,-0.006084403,-0.004559659,0.006543303,-0.003432018
-0.001758346,0.008663836,-0.006574624,-0.006271086,0.008627944,-0.002522706
-0.004808169,0.010359918,-0.00636581,-0.009615099,0.011375057,-0.000820037
0.001900172,0.0107731,-0.008937633,-0.005069623,0.010696025,-0.002918193
-0.00171986,0.011010652,-0.009195958,-0.00654988,0.010468496,-0.003111928
-0.003550622,0.011850552,-0.008330613,-0.009156743,0.012555363,-0.001883859
-0.009988097,0.013035126,-0.006558397,-0.014797948,0.016441856,0.002924072
-0.000862103,0.008332394,-0.007733964,-0.005283836,0.007599746,-0.003379053
-0.001855908,0.009276861,-0.007055174,-0.006045635,0.008585188,-0.002904285
-0.003371854,0.010557577,-0.007078262,-0.008038113,0.010382927,-0.002643239
-0.007852652,0.011776155,-0.006403972,-0.012340835,0.013952377,0.000313905
-0.001306481,0.006747239,-0.004997965,-0.003974843,0.006132505,-0.002082481
-0.00143306,0.007407332,-0.006191986,-0.004441734,0.007002021,-0.002577768
-0.002781268,0.008552828,-0.006471964,-0.006533337,0.00868415,-0.002502541
-0.005068149,0.010157369,-0.006411595,-0.009685049,0.011637512,-0.000948781
-0.000220148,0.0101918,-0.008039281,-0.005943607,0.009476674,-0.005779639
-0.001542851,0.010221451,-0.007981709,-0.006998058,0.010517315,-0.003074015
-0.003112516,0.011023427,-0.008064535,-0.008882828,0.012277207,-0.002667712
-0.009121835,0.012467963,-0.006514226,-0.014648797,0.016402593,0.00230548
-0.000830697,0.007950508,-0.007467725,-0.004654466,0.009006682,-0.002621021
-0.000864633,0.008790729,-0.00683463,-0.006156149,0.009391837,-0.00212172
-0.002795468,0.01015959,-0.006757383,-0.008214646,0.010883897,-0.002443097
-0.006793071,0.011697364,-0.006448905,-0.012473865,0.013991526,0.000900926
0.000939389,0.006223338,-0.005209041,-0.003756122,0.005289786,-0.004434345
-0.000727639,0.007367975,-0.006554698,-0.003672425,0.006643339,-0.003606676
-0.00217901,0.008820383,-0.006999128,-0.005828832,0.008562596,-0.002622867
-0.004976901,0.010426462,-0.006901149,-0.009240519,0.011648615,-0.001233104
-0.003896794,0.009667821,-0.009314497,-0.006195598,0.010106069,-0.003043767
-0.002907112,0.010132874,-0.008295899,-0.006723101,0.010356934,-0.002837677
-0.004840986,0.011458215,-0.008105248,-0.008737687,0.012207406,-0.002265065
-0.010717124,0.012863081,-0.00625761,-0.0145897,0.015906763,0.002583976
-0.000874766,0.00840654,-0.006609396,-0.006355924,0.008496766,-0.001400828
-0.002593889,0.008838467,-0.006489563,-0.007223409,0.008916284,-0.003014595
-0.003264215,0.009901243,-0.006690143,-0.008416084,0.010736342,-0.001902441
-0.007251162,0.011358441,-0.006588456,-0.012469956,0.014112339,0.000949954
-0.000307053,0.006249403,-0.006459686,-0.000425601,0.006886834,-0.00344191
-0.001451004,0.006996091,-0.005881492,-0.003596712,0.007838007,-0.00165908
-0.002198044,0.008674111,-0.00668891,-0.005510877,0.009046556,-0.0018269
-0.004876564,0.010264247,-0.006270925,-0.009196414,0.011532596,-0.000363268
-0.002648006,0.009700292,-0.008844417,-0.004987316,0.008492878,-0.006407484
-0.001585201,0.010487505,-0.008363645,-0.006357401,0.009964116,-0.004102286
-0.004404936,0.011116873,-0.008110094,-0.009272012,0.012066928,-0.002118263
-0.009817454,0.012350181,-0.005997938,-0.014785125,0.016230791,0.001979717
0.000959018,0.008686095,-0.008153588,-0.002448167,0.008456363,-0.004087257
-0.000790895,0.00898472,-0.006897873,-0.005265418,0.009315141,-0.002962945
-0.003124829,0.009822801,-0.007723834,-0.007214161,0.011082749,-0.002350074
-0.007027525,0.011850808,-0.007054731,-0.01179972,0.014419848,0.000993383
0.001213298,0.006663432,-0.006590091,-0.002438511,0.00615268,-0.002429934
-0.000115483,0.007289002,-0.006331795,-0.00363182,0.006859971,-0.00324797
-0.001958679,0.008680834,-0.006659134,-0.005741436,0.008740017,-0.001944954
-0.00499595,0.00995159,-0.00643004,-0.009312146,0.011845667,-0.000949414
-0.000828188,0.010267703,-0.008995863,-0.005919574,0.008858529,-0.004537665
-0.002379501,0.010681602,-0.008624515,-0.006223681,0.009922198,-0.004786372
-0.004623818,0.011338478,-0.007739766,-0.008976154,0.01198841,-0.002656268
-0.010141822,0.012725605,-0.006189699,-0.014521916,0.016136637,0.00185794
-0.000991205,0.009254731,-0.007272013,-0.004506145,0.006717166,-0.006723351
-0.002477818,0.00895113,-0.007098554,-0.005625863,0.008530446,-0.004290674
-0.003603324,0.01011022,-0.006899824,-0.00772482,0.010440009,-0.002515141
-0.007682672,0.011840658,-0.006437552,-0.012015911,0.01409897,0.000510584
0.000865683,0.00700663,-0.006192184,-0.003688444,0.003825119,-0.005141855
